code,name,sector
1605,INPEX,鉱業
1801,大成建設,建設業
1802,大林組,建設業
1803,清水建設,建設業
1812,鹿島建設,建設業
1925,大和ハウス工業,建設業
1928,積水ハウス,建設業
2269,明治ホールディングス,食料品
2413,エムスリー,サービス業
2502,アサヒグループホールディングス,食料品
2503,キリンホールディングス,食料品
2768,双日,卸売業
2801,キッコーマン,食料品
2802,味の素,食料品
2914,日本たばこ産業,食料品
3382,セブン&アイ・ホールディングス,小売業
3402,東レ,繊維製品
3407,旭化成,化学
4063,信越化学工業,化学
4188,三菱ケミカルグループ,化学
4307,野村総合研究所,情報・通信業
4452,花王,化学
4502,武田薬品工業,医薬品
4503,アステラス製薬,医薬品
4507,塩野義製薬,医薬品
4519,中外製薬,医薬品
4523,エーザイ,医薬品
4568,第一三共,医薬品
4578,大塚ホールディングス,医薬品
4661,オリエンタルランド,サービス業
4689,LINEヤフー,情報・通信業
4901,富士フイルムホールディングス,化学
4911,資生堂,化学
5019,出光興産,石油・石炭製品
5020,ENEOSホールディングス,石油・石炭製品
5108,ブリヂストン,ゴム製品
5201,AGC,ガラス・土石製品
5332,TOTO,ガラス・土石製品
5401,日本製鉄,鉄鋼
5406,神戸製鋼所,鉄鋼
5411,JFEホールディングス,鉄鋼
5711,三菱マテリアル,非鉄金属
5713,住友金属鉱山,非鉄金属
6098,リクルートホールディングス,サービス業
6146,ディスコ,機械
6273,SMC,機械
6301,小松製作所,機械
6326,クボタ,機械
6367,ダイキン工業,機械
6501,日立製作所,電気機器
6503,三菱電機,電気機器
6594,ニデック,電気機器
6701,NEC,電気機器
6702,富士通,電気機器
6723,ルネサスエレクトロニクス,電気機器
6752,パナソニックホールディングス,電気機器
6758,ソニーグループ,電気機器
6762,TDK,電気機器
6857,アドバンテスト,電気機器
6861,キーエンス,電気機器
6869,シスメックス,電気機器
6902,デンソー,輸送用機器
6920,レーザーテック,電気機器
6954,ファナック,電気機器
6963,ローム,電気機器
6976,太陽誘電,電気機器
6981,村田製作所,電気機器
6988,日東電工,化学
7011,三菱重工業,機械
7012,川崎重工業,機械
7013,IHI,機械
7182,ゆうちょ銀行,銀行業
7201,日産自動車,輸送用機器
7203,トヨタ自動車,輸送用機器
7259,アイシン,輸送用機器
7267,ホンダ,輸送用機器
7269,スズキ,輸送用機器
7270,SUBARU,輸送用機器
7532,パン・パシフィック・インターナショナルHD,小売業
7731,ニコン,精密機器
7733,オリンパス,精密機器
7741,HOYA,精密機器
7751,キヤノン,電気機器
7832,バンダイナムコホールディングス,その他製品
7974,任天堂,その他製品
8001,伊藤忠商事,卸売業
8002,丸紅,卸売業
8015,豊田通商,卸売業
8031,三井物産,卸売業
8035,東京エレクトロン,電気機器
8053,住友商事,卸売業
8058,三菱商事,卸売業
8267,イオン,小売業
8306,三菱UFJフィナンシャル・グループ,銀行業
8308,りそなホールディングス,銀行業
8316,三井住友フィナンシャルグループ,銀行業
8411,みずほフィナンシャルグループ,銀行業
8473,SBIホールディングス,証券、商品先物取引業
8591,オリックス,その他金融業
8601,大和証券グループ本社,証券、商品先物取引業
8604,野村ホールディングス,証券、商品先物取引業
8630,SOMPOホールディングス,保険業
8697,日本取引所グループ,その他金融業
8725,MS&ADインシュアランスグループHD,保険業
8750,第一生命ホールディングス,保険業
8766,東京海上ホールディングス,保険業
8795,T&Dホールディングス,保険業
8801,三井不動産,不動産業
8802,三菱地所,不動産業
8830,住友不動産,不動産業
9005,東急,陸運業
9020,東日本旅客鉄道,陸運業
9021,西日本旅客鉄道,陸運業
9022,東海旅客鉄道,陸運業
9064,ヤマトホールディングス,陸運業
9101,日本郵船,海運業
9104,商船三井,海運業
9107,川崎汽船,海運業
9201,日本航空,空運業
9202,ANAホールディングス,空運業
9432,日本電信電話,情報・通信業
9433,KDDI,情報・通信業
9434,ソフトバンク,情報・通信業
9502,中部電力,電気・ガス業
9503,関西電力,電気・ガス業
9531,東京ガス,電気・ガス業
9532,大阪ガス,電気・ガス業
9613,NTTデータグループ,情報・通信業
9735,セコム,サービス業
9766,コナミグループ,情報・通信業
9983,ファーストリテイリング,小売業
9984,ソフトバンクグループ,情報・通信業
